DAI,Number,Your name,Area,Treatment,Block
7,16,Kevin,7.616,control,4
7,17,Kevin,13.43,control,5
7,18,Kevin,2.35,2.53 mm water,5
7,19,Kevin,0.307,5.07 mm water,5
7,20,Kevin,3.218,10.13 mm water,5
7,21,Kevin,5.309,10.13 mm water,6
7,22,Kevin,7.756,control,6
7,23,Kevin,2.841,2.53 mm water,6
7,24,Kevin,3.527,5.07 mm water,6
7,25,Kevin,7.528,5.07 mm water,7
7,26,Kevin,3.701,10.13 mm water,7
7,27,Kevin,6.56,control,7
7,28,Kevin,0.261,2.53 mm water,7
7,29,Kevin,0.047,2.53 mm water,8
7,30,Kevin,2.097,5.07 mm water,8
7,31,Kevin,1.076,10.13 mm water,8
7,32,Kevin,9.628,control,8
7,33,Kevin,6.405,control,9
7,34,Kevin,1.444,2.53 mm water,9
7,35,Kevin,1.532,5.07 mm water,9
7,36,Kevin,4.909,10.13 mm water,9
7,37,Kevin,4.968,10.13 mm water,10
7,38,Kevin,4.883,control,10
7,39,Kevin,0.046,2.53 mm water,10
7,40,Kevin,1.069,5.07 mm water,10
7,41,Kevin,5.305,5.07 mm water,11
7,42,Kevin,2.434,10.13 mm water,11
7,43,Kevin,3.396,control,11
7,44,Kevin,4.291,2.53 mm water,11
7,45,Kevin,0.6,2.53 mm water,12
7,46,Kevin,0.6,5.07 mm water,12
7,47,Kevin,5.214,10.13 mm water,12
7,48,Kevin,7.821,control,12
9,1,Rodrigo,7.346,control,1
9,2,Rodrigo,7.065,2.53 mm water,1
9,3,Rodrigo,6.342,5.07 mm water,1
9,4,Rodrigo,3.703,10.13 mm water,1
9,5,Rodrigo,4.607,10.13 mm water,2
9,6,Rodrigo,9.777,control,2
9,7,Rodrigo,6.738,2.53 mm water,2
9,8,Rodrigo,4.657,5.07 mm water,2
9,9,Rodrigo,2.554,5.07 mm water,3
9,10,Rodrigo,6.863,10.13 mm water,3
9,11,Rodrigo,4.736,control,3
9,12,Rodrigo,2.743,2.53 mm water,3
9,13,Rodrigo,8.615,2.53 mm water,4
9,14,Rodrigo,5.258,5.07 mm water,4
9,15,Rodrigo,8.894,10.13 mm water,4
9,16,Rodrigo,9.121,control,4
9,17,Sourav,6.015,control,5
9,18,Sourav,5.164,2.53 mm water,5
9,19,Sourav,5.892,5.07 mm water,5
9,20,Sourav,2.677,10.13 mm water,5
9,21,Sourav,3.028,10.13 mm water,6
9,22,Sourav,7.759,control,6
9,23,Sourav,5.229,2.53 mm water,6
9,24,Sourav,3.46,5.07 mm water,6
9,25,Sourav,1.769,5.07 mm water,7
9,26,Sourav,6.606,10.13 mm water,7
9,27,Sourav,4.45,control,7
9,28,Sourav,2.347,2.53 mm water,7
9,29,Sourav,6.154,2.53 mm water,8
9,30,Sourav,4.463,5.07 mm water,8
9,31,Sourav,6.034,10.13 mm water,8
9,32,Sourav,7.866,control,8
9,33,Erika,"8,697",control,9
9,34,Erika,"2,352",2.53 mm water,9
9,35,Erika,"4,566",5.07 mm water,9
9,36,Erika,"2,868",10.13 mm water,9
9,37,Erika,"2,171",10.13 mm water,10
9,38,Erika,"7,867",control,10
9,39,Erika,"7,116",2.53 mm water,10
9,40,Erika,"8,512",5.07 mm water,10
9,41,Erika,"8,272",5.07 mm water,11
9,42,Erika,"5,024",10.13 mm water,11
9,43,Erika,"5,369",control,11
9,44,Erika,"2,634",2.53 mm water,11
9,45,Erika,"1,994",2.53 mm water,12
9,46,Erika,"5,052",5.07 mm water,12
9,47,Erika,"5,280",10.13 mm water,12
9,48,Erika,"5,628",control,12
11,1,Fang,5.775,control,1
11,2,Fang,4.62,2.53 mm water,1
11,3,Fang,4.429,5.07 mm water,1
11,4,Fang,5.338,10.13 mm water,1
11,5,Fang,6.662,10.13 mm water,2
11,6,Fang,4.565,control,2
11,7,Fang,2.378,2.53 mm water,2
11,8,Fang,4.47,5.07 mm water,2
11,9,Fang,5.774,5.07 mm water,3
11,10,Fang,6.25,10.13 mm water,3
11,11,Fang,4.729,control,3
11,12,Fang,1.498,2.53 mm water,3
11,13,Fang,1.415,2.53 mm water,4
11,14,Fang,3.475,5.07 mm water,4
11,15,Fang,3.554,10.13 mm water,4
11,16,Fang,5.2,control,4
11,17,Sergio,9.134,control,5
11,18,Sergio,2.167,2.53 mm water,5
11,19,Sergio,4.587,5.07 mm water,5
11,20,Sergio,2.911,10.13 mm water,5
11,21,Sergio,2.46,10.13 mm water,6
11,22,Sergio,8.089,control,6
11,23,Sergio,7.029,2.53 mm water,6
11,24,Sergio,9.049,5.07 mm water,6
11,25,Sergio,7.416,5.07 mm water,7
11,26,Sergio,4.44,10.13 mm water,7
11,27,Sergio,5.497,control,7
11,28,Sergio,3.43,2.53 mm water,7
11,29,Sergio,2.426,2.53 mm water,8
11,30,Sergio,6.3,5.07 mm water,8
11,31,Sergio,6.878,10.13 mm water,8
11,32,Sergio,7.777,control,8
11,33,Samuel,31.973,control,9
11,34,Samuel,26.191,2.53 mm water,9
11,35,Samuel,36.722,5.07 mm water,9
11,36,Samuel,37.893,10.13 mm water,9
11,37,Gulcin,22.552,10.13 mm water,10
11,38,Samuel,28.141,control,10
11,39,Samuel,16.96,2.53 mm water,10
11,40,Samuel,23.936,5.07 mm water,10
11,41,Samuel,38.696,5.07 mm water,11
11,42,Samuel,32.286,10.13 mm water,11
11,43,Samuel,32.577,control,11
11,44,Samuel,11.152,2.53 mm water,11
11,45,Samuel,11.369,2.53 mm water,12
11,46,Samuel,33.032,5.07 mm water,12
11,47,Samuel,18.544,10.13 mm water,12
11,48,Samuel,38.059,control,12
